person_id,total_offer_views,total_completed_offers,total_rewards_received,average_offer_payment,number_of_transactions,average_transaction_amount
0009655768c64bdeb2e877511632db8f,4,3,9.0,10.983333333333334,8,15.95
00116118485d4dfda04fdbaba9a87b5c,4,0,0.0,0.0,3,1.3633333333333333
0011e0d4e6b944f998e987f904e8c1e5,5,3,13.0,18.676666666666666,6,16.918333333333333
0020c2b971eb4e9188eac86d93036a77,6,5,18.0,17.395999999999997,11,22.633636363636366
0020ccbbb6d84e358d3414a3ff76cffd,4,3,13.0,12.166666666666666,12,12.837499999999999
003d66b6608740288d6cc97a6903f4f0,10,9,21.0,4.1033333333333335,24,3.0979166666666664
00426fe3ffde4c6b9cb9ad6d077a13ea,2,1,2.0,16.97,17,4.029999999999999
004b041fbfe44859945daa2c7f79ee64,2,2,7.0,23.925,6,23.060000000000002
004c5799adbf42868b9cff0396190900,16,17,66.0,33.41470588235295,24,31.425416666666653
005500a7188546ff8a767329a2f7c76a,9,1,5.0,9.03,4,5.090000000000001
0056df74b63b4298809f0b375a304cf4,3,3,13.0,28.406666666666666,5,28.827999999999996
0063def0f9c14bc4805322a488839b32,5,0,0.0,0.0,3,2.4033333333333338
0069a50874d846438e58acff5e594725,2,2,4.0,7.97,6,6.911666666666666
00715b6e55c3431cb56ff7307eb19675,6,7,42.0,23.87285714285714,17,25.025882352941174
0082fd87c18f45f2be70dbcbb0fb8aad,9,4,20.0,14.094999999999999,9,16.67111111111111
00840a2ca5d2408e982d56544dc14ffd,3,4,11.0,5.655,18,3.8322222222222226
00857b24b13f4fe0ad17b605f00357f5,3,0,0.0,0.0,4,1.565
008d7088107b468893889da0ede0df5c,7,0,0.0,0.0,7,2.311428571428572
0091d2b6a5ea4defaa8393e4e816db60,13,13,85.0,29.282307692307686,21,25.923333333333332
0092a132ead946ceb30d11a1ed513d20,6,0,0.0,0.0,3,0.8466666666666667
0099bf30e4cb4265875266eb3eb25eab,4,2,7.0,37.29,9,11.758888888888889
009d10c2c38a4fd795a7bc6ddbbddb78,7,0,0.0,0.0,7,1.682857142857143
00a794f62b9a48beb58f8f6c02c2f1a6,11,1,5.0,11.27,11,15.127272727272727
00ad4c2cace94f67a6354ec90d6c6f45,7,0,0.0,0.0,8,2.59125
00ae03011f9f49b8a4b3e6d416678b0b,14,12,64.0,26.926666666666666,17,26.87117647058823
00aee28bbb3848dd8a31f0c91dc267dd,2,0,0.0,0.0,5,4.106
00b18b535d6d4f779dea4dc9ac451478,11,9,26.0,25.334444444444443,11,26.025454545454544
00b3400e4ff64ee68ce9ada1d0c222f0,2,3,17.0,21.106666666666666,10,16.392
00b3c376db2a4115af3aef34a02f61d6,2,3,25.0,26.203333333333333,8,27.45375
00b5fb9d842d437e83033ad9e36f7148,3,0,0.0,0.0,3,2.58
00b901d68f8f4fd68075184cd0f772d2,6,0,0.0,0.0,4,13.387500000000001
00bbce6533f44ddeaf4dd32bcab55441,4,3,9.0,10.19,7,11.030000000000001
00bc42a62f884b41a13cc595856cf7c3,7,7,23.0,18.967142857142857,10,19.360000000000003
00bc983061d3471e8c8e74d31b7c8b6f,2,1,10.0,14.11,3,21.166666666666664
00c20a9202d5475190b31a24de6fb06d,4,4,23.0,20.904999999999998,8,20.50125
00c2f812f4604c8893152a5c6572030e,10,11,94.0,23.18818181818182,14,24.427142857142854
00c32a104f0c4065b5b552895fb22e34,3,0,0.0,0.0,2,3.4899999999999998
00c5a385c71a4d3db5e9b4e31e430943,4,0,0.0,0.0,2,1.295
00c6035df45840038a72766c6d27a0db,4,3,15.0,19.146666666666665,11,21.959090909090907
00c91f31f5f74e769fa7a359b63e1a9f,10,9,26.0,11.04,20,9.894499999999997
00ceaf16a40341e6996d543d04daa2c2,4,0,0.0,0.0,9,2.997777777777778
00cf1bbec83f4a658f8994e556db4633,5,5,10.0,33.28,7,28.19857142857143
00cf471ed1aa42a8bdde5561d67da2b1,5,1,5.0,6.02,8,3.2725
00d6dc87be4146ceb47fcd4baaaf6477,4,5,24.0,30.979999999999997,12,27.88666666666667
00d791e20c564add8056498e40eb56cc,5,4,23.0,8.5325,20,3.500000000000001
00d7c95f793a4212af44e632fdc1e431,3,7,25.0,21.032857142857143,11,21.52181818181818
00d91c5919514448bc4f718e4e3f26ab,5,2,20.0,25.38,3,23.326666666666664
00e20b4ca129458aaab0f4727ef3513a,9,8,16.0,67.685,26,22.986923076923077
00e52682848542c3a6f59b7824e9a5c5,4,1,5.0,7.32,2,11.535
00e8d701c583461e81cc10053681a12b,3,1,3.0,2.98,7,4.425714285714286
00e9f403afa641889cd034ee7c7ca6e9,7,5,23.0,12.332,19,33.68684210526316
00ed7e22b32749cfafbfd88592d401d4,2,3,9.0,17.599999999999998,12,20.96666666666667
00ee2ca6421c4af0aeca60a1b3e00f6c,4,0,0.0,0.0,1,4.03
00ee69db83964d6da32f8109b32a1ce7,6,0,0.0,0.0,5,3.1580000000000004
